Data extracted on 02/04/2021 19:00:58 from [ESTAT];;;;;;;;;;;;;;;;;
Dataset: ;Social media use by type, internet advertising [ISOC_CISMT__custom_768447];;;;;;;;;;;;;;;;
Last updated: ;11/03/2021 11:00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;
Unit of measure;;Percentage of enterprises;;;;;;;;;;;;;;;
Enterprise size and Nace Rev. 2;;All enterprises, without financial sector (10 persons employed or more);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
GEO (Labels);TIME;Pay to advertise on the internet;Enterprises using information about visitors' behaviour on their websites, e.g. for advertising or improving customer satisfaction;Have a website and pay to advertise on the internet;Have web sales to private consumers (B2C) and pay to advertise on the internet;Use social networks (e.g. Facebook, LinkedIn, Xing, Viadeo, Yammer, etc.) (as of 2014);Use enterprise's blog or microblogs (e.g. Twitter, Present.ly, etc.) (as of 2014);Use multimedia content sharing websites (e.g. YouTube, Flickr, Picasa, SlideShare, etc.) (as of 2014);Use wiki based knowledge sharing tools (as of 2014);Use any social media (as of 2014);Use only one type of social media (as of 2014);Use two or more social media (as of 2014);Have a Website and use any social media (as of 2014);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use two or more social media;Have a formal policy for using social media and have used two or more social media;Do not use the above mentioned social media or use them only for posting paid adverts;Use any social media - only for posting paid adverts
Portugal;2017;:;:;:;:;45;7;15;3;46;30;16;46;:;:;:;:
Portugal;2018;16;:;15;5;:;:;:;:;:;:;:;:;:;:;:;:
Portugal;2019;:;14;:;:;49;7;13;4;50;34;16;39;:;:;:;:
Romania;2013;:;:;:;:;:;:;:;:;:;:;:;:;2;1;6;0
Romania;2014;:;:;:;:;21;3;5;2;22;16;6;16;:;:;:;:
Romania;2015;:;:;:;:;23;4;5;2;25;18;6;19;:;:;:;:
Romania;2016;12;:;10;2;29;4;7;2;30;22;8;21;:;:;:;:
Romania;2017;:;:;:;:;34;5;7;3;35;26;9;25;:;:;:;:
Romania;2018;15;:;13;3;:;:;:;:;:;:;:;:;:;:;:;:
Romania;2019;:;10;:;:;32;4;7;2;33;25;8;25;:;:;:;:
Slovenia;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;61;0
Slovenia;2014;22;:;22;:;37;8;12;2;39;25;14;36;:;:;:;:
Slovenia;2015;23;:;22;:;41;9;14;3;42;26;16;41;:;:;:;:
Slovenia;2016;21;:;21;7;43;9;17;2;46;29;17;43;:;:;:;:
Slovenia;2017;:;:;:;:;45;7;17;2;47;29;18;45;:;:;:;:
Slovenia;2018;22;:;22;8;:;:;:;:;:;:;:;:;:;:;:;:
Slovenia;2019;:;24;:;:;49;8;23;2;50;27;24;48;:;:;:;:
Slovakia;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;72;3
Slovakia;2014;33;:;30;:;26;4;9;4;29;19;10;27;:;:;:;:
Slovakia;2015;40;:;36;:;29;6;11;6;34;22;12;32;:;:;:;:
Slovakia;2016;27;:;25;5;30;6;12;5;34;21;13;32;:;:;:;:
Slovakia;2017;:;:;:;:;35;8;14;6;39;22;17;35;:;:;:;:
Slovakia;2018;25;:;24;7;:;:;:;:;:;:;:;:;:;:;:;:
Slovakia;2019;:;16;:;:;40;6;16;5;42;24;18;38;:;:;:;:
Finland;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;7;55;1
Finland;2014;41;:;41;:;43;11;18;6;46;25;21;45;:;:;:;:
Finland;2015;40;:;40;:;47;12;19;7;50;29;21;50;:;:;:;:
Finland;2016;33;:;33;8;57;16;22;6;60;34;26;59;:;:;:;:
Finland;2017;:;:;:;:;61;17;24;6;63;34;29;62;:;:;:;:
Finland;2018;37;:;37;10;:;:;:;:;:;:;:;:;:;:;:;:
Finland;2019;:;:;:;:;69;20;41;10;71;26;44;:;:;:;:;:
Sweden;2013;:;:;:;:;:;:;:;:;:;:;:;:;8;8;52;2
Sweden;2014;:;:;:;:;45;13;15;7;48;28;20;47;:;:;:;:
Sweden;2015;:;:;:;:;51;14;16;6;53;32;21;52;:;:;:;:
Sweden;2016;42;:;41;10;56;14;18;6;58;35;24;57;:;:;:;:
Sweden;2017;:;:;:;:;63;14;20;8;65;40;25;63;:;:;:;:
Sweden;2018;44;:;44;12;:;:;:;:;:;:;:;:;:;:;:;:
Sweden;2019;:;20;:;:;69;16;37;12;72;33;40;70;:;:;:;:
Iceland;2013;:;:;:;:;:;:;:;:;:;:;:;:;11;6;35;:
Iceland;2014;:;:;:;:;60;14;21;5;63;38;25;57;:;:;:;:
Iceland;2015;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Iceland;2016;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Iceland;2017;:;:;:;:;77;16;17;3;79;56;23;63;:;:;:;:
Iceland;2018;50;:;46;11;:;:;:;:;:;:;:;:;:;:;:;:
Iceland;2019;:;:;:;:;73;9;13;1;75;60;16;:;:;:;:;:
Norway;2013;:;:;:;:;:;:;:;:;:;:;:;:;7;7;49;1
Norway;2014;36;:;34;:;51;10;12;6;53;36;17;47;:;:;:;:
Norway;2015;38;:;36;:;59;12;13;6;60;42;19;54;:;:;:;:
Norway;2016;36;:;33;10;67;11;15;5;68;49;20;59;:;:;:;:
Norway;2017;:;:;:;:;71;11;15;5;72;52;20;62;:;:;:;:
Norway;2018;45;:;41;14;:;:;:;:;:;:;:;:;:;:;:;:
Norway;2019;:;18;:;:;76;10;15;5;76;56;20;66;:;:;:;:
United Kingdom;2013;:;:;:;:;:;:;:;:;:;:;:;:;10;12;54;0
United Kingdom;2014;:;:;:;:;42;29;16;4;44;:;:;42;:;:;:;:
United Kingdom;2015;:;:;:;:;52;33;17;4;54;20;34;51;:;:;:;:
United Kingdom;2016;28;:;28;8;57;37;19;4;59;19;40;55;:;:;:;:
