TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Greece;Internet use: sending/receiving e-mails;:;41;46;50;52;52;53;54;59;58
Greece;Internet use: telephoning or video calls;16;21;26;28;29;32;33;44;51;57
Greece;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);28;:;36;41;44;47;50;53;57;59
Greece;Internet use: finding information about goods and services;39;45;50;52;54;57;57;65;67;69
Greece;Internet use: consulting wikis (to obtain knowledge on any subject);27;:;32;:;34;:;:;:;:;:
Greece;Internet use: reading online news sites/newspapers/news magazines;:;:;46;54;57;59;61;:;66;69
Greece;Internet use: playing/downloading games, images, films or music;:;28;:;33;:;:;:;:;:;:
Greece;Internet use: listening to web radios and/or watching web TV;:;31;:;:;:;:;:;:;:;:
Greece;Internet use: seeking health information;30;:;34;:;37;41;47;47;50;52
Greece;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;53;:;57;:;62
Spain;Internet use: looking for information about education, training or course offers;42;:;46;:;51;:;:;:;:;:
Spain;Internet use: sending/receiving e-mails;:;61;62;64;64;64;68;69;72;76
Spain;Internet use: telephoning or video calls;15;23;20;24;23;25;30;33;55;78
Spain;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);35;:;46;51;51;54;57;58;59;65
Spain;Internet use: finding information about goods and services;46;60;48;66;55;67;63;72;73;78
Spain;Internet use: consulting wikis (to obtain knowledge on any subject);38;:;44;:;53;:;:;:;:;:
Spain;Internet use: reading online news sites/newspapers/news magazines;:;:;50;59;62;63;66;:;71;76
Spain;Internet use: playing/downloading games, images, films or music;:;34;:;40;:;:;:;:;:;:
Spain;Internet use: listening to web radios and/or watching web TV;:;35;:;:;:;:;:;:;:;:
Spain;Internet use: seeking health information;38;:;44;:;52;49;57;55;60;67
Spain;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;67;:;74;:;82
France;Internet use: looking for information about education, training or course offers;20;:;31;:;26;:;:;:;:;:
France;Internet use: sending/receiving e-mails;:;72;74;73;74;76;76;77;79;:
France;Internet use: telephoning or video calls;19;23;24;:;26;29;29;31;48;:
France;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);36;:;38;39;38;40;43;42;42;:
France;Internet use: finding information about goods and services;67;69;68;69;69;65;67;70;62;:
France;Internet use: consulting wikis (to obtain knowledge on any subject);39;:;51;:;27;:;:;:;:;:
France;Internet use: reading online news sites/newspapers/news magazines;:;:;41;39;42;48;53;:;54;:
France;Internet use: playing/downloading games, images, films or music;:;33;:;39;:;:;:;:;:;:
France;Internet use: listening to web radios and/or watching web TV;:;34;:;:;:;:;:;:;:;:
France;Internet use: seeking health information;36;:;49;:;40;43;44;46;50;:
France;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;64;:;65;:;:
Croatia;Internet use: looking for information about education, training or course offers;31;:;37;:;38;:;:;:;:;:
Croatia;Internet use: sending/receiving e-mails;:;49;48;47;53;58;48;59;59;66
Croatia;Internet use: telephoning or video calls;14;26;23;26;30;33;42;52;48;57
Croatia;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);32;:;38;40;45;50;47;54;58;57
Croatia;Internet use: finding information about goods and services;43;52;46;44;57;66;59;66;74;71
Croatia;Internet use: consulting wikis (to obtain knowledge on any subject);21;:;35;:;46;:;:;:;:;:
Croatia;Internet use: reading online news sites/newspapers/news magazines;:;:;56;54;62;66;61;:;72;72
Croatia;Internet use: playing/downloading games, images, films or music;:;35;:;23;:;:;:;:;:;:
Croatia;Internet use: listening to web radios and/or watching web TV;:;29;:;:;:;:;:;:;:;:
Croatia;Internet use: seeking health information;35;:;35;:;50;53;53;51;63;58
Croatia;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;62;:;66;:;71
Italy;Internet use: looking for information about education, training or course offers;21;:;26;:;25;:;:;:;:;:
Italy;Internet use: sending/receiving e-mails;:;48;51;53;53;54;55;57;59;63
Italy;Internet use: telephoning or video calls;17;18;21;24;22;24;28;35;49;65
Italy;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);26;:;32;36;38;42;43;46;42;48
Italy;Internet use: finding information about goods and services;41;41;37;35;37;35;38;40;40;48
Italy;Internet use: consulting wikis (to obtain knowledge on any subject);29;:;35;:;38;:;:;:;:;:
Italy;Internet use: reading online news sites/newspapers/news magazines;:;:;40;37;37;41;39;:;44;49
Italy;Internet use: playing/downloading games, images, films or music;:;22;:;32;:;:;:;:;:;:
Italy;Internet use: listening to web radios and/or watching web TV;:;21;:;:;:;:;:;:;:;:
Italy;Internet use: seeking health information;27;:;32;:;30;31;33;35;35;46
Italy;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;55;:;59;:;63
Cyprus;Internet use: looking for information about education, training or course offers;15;:;19;:;22;:;:;:;:;:
Cyprus;Internet use: sending/receiving e-mails;:;46;49;51;53;53;51;54;56;66
Cyprus;Internet use: telephoning or video calls;30;35;38;41;45;54;57;63;72;85
Cyprus;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);33;:;44;50;54;60;63;69;72;78
Cyprus;Internet use: finding information about goods and services;48;55;56;62;54;62;61;72;72;78
Cyprus;Internet use: consulting wikis (to obtain knowledge on any subject);31;:;31;:;44;:;:;:;:;:
Cyprus;Internet use: reading online news sites/newspapers/news magazines;:;:;48;50;57;56;65;:;70;72
Cyprus;Internet use: playing/downloading games, images, films or music;:;37;:;38;:;:;:;:;:;:
Cyprus;Internet use: listening to web radios and/or watching web TV;:;29;:;:;:;:;:;:;:;:
Cyprus;Internet use: seeking health information;28;:;32;:;50;43;58;57;69;61
Cyprus;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;65;:;74;:;86
Latvia;Internet use: looking for information about education, training or course offers;30;:;31;:;29;:;:;:;:;:
Latvia;Internet use: sending/receiving e-mails;:;63;65;64;69;69;70;70;72;76
Latvia;Internet use: telephoning or video calls;41;45;45;43;44;41;42;52;57;61
Latvia;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);55;:;54;53;58;57;60;61;65;67
Latvia;Internet use: finding information about goods and services;52;63;52;53;54;60;57;63;62;71
Latvia;Internet use: consulting wikis (to obtain knowledge on any subject);29;:;24;:;22;:;:;:;:;:
Latvia;Internet use: reading online news sites/newspapers/news magazines;:;:;64;65;69;67;68;:;68;73
Latvia;Internet use: playing/downloading games, images, films or music;:;39;:;39;:;:;:;:;:;:
Latvia;Internet use: listening to web radios and/or watching web TV;:;32;:;:;:;:;:;:;:;:
Latvia;Internet use: seeking health information;38;:;37;:;41;39;43;37;48;49
Latvia;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;61;:;63;:;72
Lithuania;Internet use: looking for information about education, training or course offers;23;:;24;:;24;:;:;:;:;:
Lithuania;Internet use: sending/receiving e-mails;:;53;55;59;57;58;61;60;62;66
Lithuania;Internet use: telephoning or video calls;43;47;48;57;51;52;55;59;61;64
